iter	Logloss
0	0.6430518038
1	0.5990638946
2	0.5532307629
3	0.5169004824
4	0.4933650519
5	0.4709143719
6	0.4413599203
7	0.4150804101
8	0.387724299
9	0.3739955611
10	0.3571143471
11	0.3440588045
12	0.3288156298
13	0.3170464615
14	0.306201926
15	0.2943027431
16	0.2863564981
17	0.2801080246
18	0.2745540049
19	0.2646618362
20	0.2579424544
21	0.2501077454
22	0.2448839269
23	0.2369696644
24	0.231808342
25	0.2278793158
26	0.2251576633
27	0.2226171973
28	0.2190628477
29	0.2150459448
30	0.212671535
31	0.2090596012
32	0.2053954056
33	0.2015052954
34	0.2000862216
35	0.1976402816
36	0.1951515877
37	0.1911248769
38	0.1896663817
39	0.1875722804
40	0.1862062106
41	0.1839966249
42	0.1819883472
43	0.1805770123
44	0.1793262689
45	0.177949175
46	0.176169797
47	0.1749508149
48	0.1737189293
49	0.1722179804
50	0.1707314038
51	0.1701430685
52	0.1693255335
53	0.1685111415
54	0.1664432422
55	0.165464863
56	0.1646332241
57	0.1636091693
58	0.1623664965
59	0.1618027207
60	0.1608038095
61	0.1599988464
62	0.1590687016
63	0.1582232589
64	0.1574507679
65	0.1559698454
66	0.1551965805
67	0.1537289249
68	0.1517990476
69	0.1509592908
70	0.1503196099
71	0.1493471218
72	0.1489675176
73	0.1484215887
74	0.147945658
75	0.1473329056
76	0.1461997471
77	0.1449209539
78	0.1443576676
79	0.1436989394
80	0.1427007706
81	0.1415599047
82	0.1402801955
83	0.1393343515
84	0.1387129441
85	0.1382921654
86	0.1376615659
87	0.1367494102
88	0.1355373143
89	0.1344588497
90	0.1337542405
91	0.1333039905
92	0.1329019275
93	0.1326288999
94	0.1311637239
95	0.1307404893
96	0.1302710104
97	0.1298150668
98	0.1289502136
99	0.1280158754
