iter	Passed	Remaining
0	4	488
1	8	408
2	12	393
3	15	380
4	19	361
5	22	348
6	25	339
7	29	338
8	33	335
9	36	327
10	39	322
11	43	320
12	47	317
13	50	311
14	54	307
15	57	304
16	62	302
17	65	298
18	69	294
19	72	290
20	76	289
21	80	286
22	84	282
23	88	278
24	93	279
25	96	275
26	100	270
27	103	266
28	107	263
29	111	259
30	114	255
31	118	251
32	122	248
33	126	244
34	129	240
35	132	236
36	137	234
37	141	230
38	145	227
39	149	224
40	152	220
41	156	215
42	159	211
43	163	207
44	166	203
45	170	199
46	173	195
47	177	191
48	180	188
49	184	184
50	187	180
51	190	175
52	194	172
53	197	168
54	200	164
55	204	160
56	207	156
57	211	153
58	215	149
59	218	145
60	221	141
61	226	138
62	229	134
63	233	131
64	236	127
65	239	123
66	243	120
67	246	116
68	249	112
69	252	108
70	255	104
71	258	100
72	261	96
73	264	92
74	267	89
75	270	85
76	273	81
77	276	78
78	279	74
79	282	70
80	285	66
81	289	63
82	291	59
83	294	56
84	297	52
85	300	48
86	304	45
87	307	41
88	309	38
89	312	34
90	315	31
91	318	27
92	321	24
93	324	20
94	327	17
95	330	13
96	333	10
97	337	6
98	340	3
99	343	0
